Code,Level,Description,ISIC code
47102,5,"Mini-marts, convenience stores and provision shops",4799
47103,5,Department stores,4719
47103,5,Department stores,4791
47103,5,Department stores,4799
47109,5,Retail sale in other non-specialised stores n.e.c.,4719
47109,5,Retail sale in other non-specialised stores n.e.c.,4791
47109,5,Retail sale in other non-specialised stores n.e.c.,4799
47211,5,Retail sale of fruits and vegetables,4721
47211,5,Retail sale of fruits and vegetables,4791
47211,5,Retail sale of fruits and vegetables,4799
47212,5,"Retail sale of meat, poultry, eggs and seafood",4721
47212,5,"Retail sale of meat, poultry, eggs and seafood",4791
47212,5,"Retail sale of meat, poultry, eggs and seafood",4799
47213,5,Retail sale of confectionery and bakery products (not manufactured on site),4721
47213,5,Retail sale of confectionery and bakery products (not manufactured on site),4791
47213,5,Retail sale of confectionery and bakery products (not manufactured on site),4799
47214,5,Retail sale of health supplements,4721
47214,5,Retail sale of health supplements,4791
47214,5,Retail sale of health supplements,4799
47219,5,Retail sale of food n.e.c.,4721
47219,5,Retail sale of food n.e.c.,4791
47219,5,Retail sale of food n.e.c.,4799
47220,5,Retail sale of beverages,4722
47220,5,Retail sale of beverages,4791
47220,5,Retail sale of beverages,4799
47230,5,Retail sale of tobacco products,4723
47230,5,Retail sale of tobacco products,4791
47230,5,Retail sale of tobacco products,4799
47311,5,Retail sale of motor vehicles except motorcycles and scooters,4510
47311,5,Retail sale of motor vehicles except motorcycles and scooters,4791
47311,5,Retail sale of motor vehicles except motorcycles and scooters,4799
47312,5,Retail sale of motorcycles and scooters,4540
47312,5,Retail sale of motorcycles and scooters,4791
47312,5,Retail sale of motorcycles and scooters,4799
47313,5,Retail sale of tyres and batteries,4530
47313,5,Retail sale of tyres and batteries,4791
47313,5,Retail sale of tyres and batteries,4799
47314,5,Retail sale of spare parts and accessories for motor vehicles,4530
47314,5,Retail sale of spare parts and accessories for motor vehicles,4791
47314,5,Retail sale of spare parts and accessories for motor vehicles,4799
47320,5,"Retail sale of automotive fuel (e.g. petrol kiosks, CNG refilling stations)",4730
47320,5,"Retail sale of automotive fuel (e.g. petrol kiosks, CNG refilling stations)",4791
47320,5,"Retail sale of automotive fuel (e.g. petrol kiosks, CNG refilling stations)",4799
